seed,arm,conservation_ok,edge_enrichment,edge_cross_fraction,adjacent_edges,raw_contact,condition_variance,alive,role_balance
6054,local_construction,True,0.0185224344,0.526275703,78.725,0.830335913,1.6300705,55.75,0.477281469
6054,place_memory_scrambled,True,0.0788663279,0.579493664,73.5625,0.867050501,1.60074692,61.2125,0.449892262
6055,construction_off,True,-0.0559982331,0.447914235,76.1875,0.630254676,0,68.1875,0.465692941
6055,local_construction,True,0.0176651193,0.523654005,90.7875,0.800385771,1.58530655,65.1625,0.47346023
6055,place_memory_scrambled,True,0.0385659551,0.542134226,61.725,0.744219598,1.25021362,59.2125,0.459931429
6056,construction_off,True,-0.0812498126,0.422444296,66.4625,0.6178979,0,64.9,0.464631997
6056,local_construction,True,0.0208581703,0.526114867,252.1125,0.898506217,1.12158356,64.575,0.471293203
6056,place_memory_scrambled,True,0.036286273,0.539393694,65.9875,0.760852145,1.16151733,59.425,0.457152179
6057,construction_off,True,-0.036446895,0.467205345,73.95,0.672568052,0,73.0625,0.467512023
6057,local_construction,True,0.000965573035,0.504151168,160.15,0.759692719,0.800827026,59.8875,0.460094388
6057,place_memory_scrambled,True,0.0420250728,0.548796407,71.4,0.826612913,2.28284378,55.925,0.472752906
6058,construction_off,True,0.010512357,0.514755443,76.7625,0.743400659,0,68.475,0.469262798
6058,local_construction,True,0.0418606641,0.547146103,97.85,0.839944291,1.59463806,69.9625,0.473378292
6058,place_memory_scrambled,True,0.0376623996,0.536271315,60.875,0.774564278,2.04847488,54.55,0.439583348
6059,construction_off,True,-0.150760695,0.35304348,71.6,0.551090649,0,59.1875,0.463824453
6059,local_construction,True,0.00865472141,0.513811862,89.3125,0.774262291,0.914662933,63.175,0.469120577
6059,place_memory_scrambled,True,0.0293745672,0.528369029,103.1,0.810462596,0.225185394,66.1125,0.443928072
6060,construction_off,True,-0.0239051135,0.481970813,79.675,0.718235058,0,68.25,0.476594127
6060,local_construction,True,0.0140501703,0.518404184,315.925,0.863344312,1.44644089,63.0375,0.463435257
6060,place_memory_scrambled,True,0.0717548055,0.577981764,78.3,0.883396605,1.7708519,61.375,0.472198872
6061,construction_off,True,-0.0966427757,0.409712481,63.825,0.595079501,0,61.4125,0.475628121
6061,local_construction,True,0.0122368701,0.515239106,79.1,0.782579801,1.58818283,60.225,0.457071287
6061,place_memory_scrambled,True,0.0695998098,0.570479167,79.325,0.860765281,1.10494537,63.3875,0.449965764
6062,construction_off,True,-0.0617350677,0.444731031,80.05,0.614996316,0,68.675,0.483591931
6062,local_construction,True,0.0180836329,0.517376611,107.2875,0.855141385,2.30057983,53.9,0.441409248
6062,place_memory_scrambled,True,0.0790960365,0.583657142,74.8625,0.849568158,1.83913193,66.5125,0.466794979
6063,construction_off,True,-0.0403857129,0.464679528,80.0875,0.700067723,0,55.3875,0.462776095
6063,local_construction,True,-0.00335237863,0.502410373,91.0875,0.742597504,1.4409584,68.125,0.476429938
6063,place_memory_scrambled,True,0.0313390256,0.535896213,70.55,0.780976212,1.26107254,63.975,0.466412268
